NETWORK PATCHING,,,,,,,,
Device Name,Device Type,Mod/Port,Device Name,Device Type,Mod/Port,Cable Type,IP,
BAS-JPM-0H1E-11S-ML1,Arista DCS-7010T-48-R,ET44,BAS-FIC-0H1E-11S-PD3,ServerTech PDU,ET1,1000-T Copper CAT6,170.76.66.56/27,
BAS-JPM-0H1E-11S-ML1,Arista DCS-7010T-48-R,ET45,BAS-FIC-0H1E-11S-PD4,ServerTech PDU,ET1,1000-T Copper CAT6,170.76.66.57/27,
BAS-JPM-0H1E-12S-ML2,Arista DCS-7010T-48-R,ET42,BAS-FIC-0H1E-12S-PD1,ServerTech PDU,ET1,1000-T Copper CAT6,170.76.66.59/27,
BAS-JPM-0H1E-12S-ML2,Arista DCS-7010T-48-R,ET43,BAS-FIC-0H1E-12S-PD2,ServerTech PDU,ET1,1000-T Copper CAT6,170.76.66.60/27,
BAS-JPM-0H1E-12S-ML2,Arista DCS-7010T-48-R,ET44,BAS-FIC-0H1E-12S-PD3,ServerTech PDU,ET1,1000-T Copper CAT6,170.76.66.61/27,
BAS-JPM-0H1E-12S-ML2,Arista DCS-7010T-48-R,ET45,BAS-FIC-0H1E-12S-PD4,ServerTech PDU,ET1,1000-T Copper CAT6,170.76.66.62/27,
,,,,,,,,
BAS-FIC-0H1E-11S-CS1,OpenGear,Serial Port 1,BAS-FIC-0H1E-11S-C01,Arista DCS-7150S-64-CL-R,CONSOLE,1000-T Copper CAT6,N/A,
BAS-FIC-0H1E-11S-CS1,OpenGear,Serial Port 2,BAS-FIC-0H1E-12S-C02,Arista DCS-7150S-64-CL-R,CONSOLE,1000-T Copper CAT6,N/A,
BAS-FIC-0H1E-11S-CS1,OpenGear,Serial Port 3,BAS-JPM-0H1E-11S-MW1,Arista DCS-7280R,CONSOLE,1000-T Copper CAT6,N/A,
BAS-FIC-0H1E-11S-CS1,OpenGear,Serial Port 4,BAS-JPM-0H1E-12S-MW2,Arista DCS-7280R,CONSOLE,1000-T Copper CAT6,N/A,
BAS-FIC-0H1E-11S-CS1,OpenGear,Serial Port 5,BAS-JPM-0H1E-11S-ML1,Arista DCS-7010T-48-R,CONSOLE,1000-T Copper CAT6,N/A,
BAS-FIC-0H1E-11S-CS1,OpenGear,Serial Port 6,BAS-JPM-0H1E-12S-ML2,Arista DCS-7010T-48-R,CONSOLE,1000-T Copper CAT6,N/A,
,,,,,,,,
,,,,,,,,
JPM SERVER ENVIRONMENT,,,,,,,,
BAS-FIC-0H1E-11S-C01,,ET1,RATE-BAS-P001,,P1P1,10G-CR TWINAX,MD-A,
BAS-FIC-0H1E-11S-C01,,ET2,RATE-BAS-P001,,P6P1,10G-CR TWINAX,UCAST-A,BOND1
BAS-FIC-0H1E-11S-C01,,ET3,RATE-BAS-P001,,P5P1,10G-CR TWINAX,BEM-A,BOND0
BAS-FIC-0H1E-12S-C02,,ET1,RATE-BAS-P001,,P4P2,10G-CR TWINAX,MD-B,
BAS-FIC-0H1E-12S-C02,,ET2,RATE-BAS-P001,,P5P2,10G-CR TWINAX,UCAST-B,BOND1
BAS-FIC-0H1E-12S-C02,,ET3,RATE-BAS-P001,,P6P2,10G-CR TWINAX,BEM-B,BOND0
BAS-JPM-0H1E-11S-ML1,,ET1,RATE-BAS-P001,,EM1,1000-T Copper CAT6,MGT-A,BOND3
BAS-JPM-0H1E-12S-ML2,,ET1,RATE-BAS-P001,,P3P2,1000-T Copper CAT6,MGT-B,BOND3
BAS-JPM-0H1E-11S-ML1,,ET2,RATE-BAS-P001,,IMM,1000-T Copper CAT6,,
BAS-FIC-0H1E-11S-C01,,ET4,RATE-BAS-P002,,P1P1,10G-CR TWINAX,MD-A,
